corpus_icon,uses,decision,target,reasoning
mute,2,verify,mute,"Exact match. Canonical 'mute' is well-chosen. Lucide uses 'volume-x' and Tabler/Material use 'volume-off', but 'mute' is the universally understood semantic term. 'volume-off' and 'volume-x' are already aliases."
video camera,2,alias,video,"'video camera' maps to 'video' which has aliases including 'movie'. The corpus name describes the icon glyph (a camera), while the canonical 'video' describes the concept. Phosphor and Heroicons both call it 'video-camera'. Adding 'video-camera' as an alias would be valuable for discoverability."
expand,2,verify,fullscreen,"'expand' is already listed as an alias of 'fullscreen'. The canonical 'fullscreen' is well-supported — Material uses 'fullscreen', Lucide uses 'maximize', Phosphor uses 'arrows-out'. 'maximize' and 'expand' are both already aliases. Correct mapping."
power,2,verify,power,"Exact match. Canonical 'power' is the consensus name — Lucide, Phosphor, and Heroicons all use 'power'. No issues."
sort,1,verify,sort,"Exact match. Canonical 'sort' is the consensus name. Material uses 'sort', Lucide uses 'arrow-up-down', but 'sort' is the clearest semantic name. No issues."
calculator,1,verify,calculator,"Exact match. Canonical 'calculator' is the consensus name across Lucide, Phosphor, Heroicons. No issues."
map pin,1,alias,location,"'map-pin' is already listed as an alias of 'location' (along with 'marker'). The canonical 'location' is a good semantic abstraction — it describes the concept rather than the icon glyph. Lucide/Phosphor/Tabler/Heroicons all call it 'map-pin' but Material uses 'location_on'. The semantic name 'location' is the right call for a UI framework where intent matters more than glyph description."
tag,1,verify,tag,"Exact match. Canonical 'tag' is the consensus name — Lucide, Phosphor, Tabler, and Heroicons all use 'tag'. No issues."
truck,1,alias,shipping,"'truck' is already listed as an alias of 'shipping'. The canonical 'shipping' is a semantic/intent name rather than glyph-description. All 5 libraries call it 'truck' or similar. This is a deliberate design choice to name by use-case rather than appearance, which is defensible for a UI framework, though developers who just want a truck icon may search for 'truck' first. The alias covers that."
reply,1,verify,reply,"Exact match. Canonical 'reply' is used by Lucide and Material. No issues."
eraser,1,verify,eraser,"Exact match. Canonical 'eraser' is the consensus name — Lucide, Phosphor, and Tabler all use 'eraser'. No issues."
chevron left,1,verify,chevron-left,"Exact match (space vs hyphen normalization). Canonical 'chevron-left' is the standard name across 4/5 libraries. 'caret-left' already listed as alias."
keyboard,1,verify,keyboard,"Exact match. Canonical 'keyboard' is the consensus name across Lucide, Phosphor, Material. No issues."
spinner,1,verify,loading,"'spinner' is already listed as an alias of 'loading'. The canonical 'loading' is a semantic name describing the state rather than the glyph. This is the right choice — when a developer wants a spinner, they want a loading indicator. The alias covers the glyph-description path."
percent,1,verify,discount,"'percent' is already listed as an alias of 'discount'. The canonical 'discount' is a semantic/intent name. However, the % symbol is used beyond discounts (statistics, progress, math). Phosphor, Tabler, and Material all call it 'percent'. Consider whether 'percent' should be the canonical and 'discount' the alias, but the current setup works with the alias in place."
move,1,verify,move,"Exact match. Canonical 'move' is used by Lucide. Phosphor uses 'arrows-out-cardinal'. The name 'move' is the clearest semantic term. No issues."
map,1,verify,map,"Exact match. Canonical 'map' is the consensus name across Lucide, Tabler, Material, and Heroicons. No issues."
crosshairs,1,verify,current-location,"'crosshairs' is already listed as an alias of 'current-location'. The canonical 'current-location' is a semantic name. Tabler also uses 'current-location'. Phosphor uses 'crosshair'. The semantic name is a good choice for a UI framework — 'current-location' tells you what it means. The alias covers the glyph-description path."
smile,1,verify,smile,"Exact match. Canonical 'smile' is used by Lucide. Aliases include 'happy' and 'satisfied'. Tabler uses 'mood-happy', Heroicons uses 'face-smile'. 'smile' is the most concise and intuitive name. No issues."
cloud,1,verify,cloud,"Exact match. Canonical 'cloud' is the consensus name across all 5 libraries. No issues."
check square,1,alias,checkbox,"'check square' maps to 'checkbox' which already has 'square-check' as an alias. The corpus name 'check square' describes the glyph (checked square), while 'checkbox' is the semantic/UI concept. Lucide/Tabler use 'square-check', Phosphor uses 'check-square', Material uses 'check_box'. Correct mapping — 'checkbox' is the right semantic canonical."
shopping cart,1,alias,cart,"'shopping-cart' is already listed as an alias of 'cart'. Correct mapping. The canonical 'cart' is concise. All libraries use longer 'shopping-cart' variants but shortening to 'cart' is reasonable for a UI framework since the shopping context is implied."
clipboard,1,verify,clipboard,"Exact match. Canonical 'clipboard' is the consensus name across Lucide, Phosphor, Tabler, and Heroicons. No issues."
zoom out,1,verify,zoom-out,"Exact match (space vs hyphen normalization). Canonical 'zoom-out' is the consensus name across Lucide, Tabler, and Material. No issues."
zoom in,1,verify,zoom-in,"Exact match (space vs hyphen normalization). Canonical 'zoom-in' is the consensus name across Lucide, Tabler, and Material. No issues."
trophy,1,verify,trophy,"Exact match. Canonical 'trophy' is the consensus name across all 5 libraries. No issues."
arrow left,1,verify,back,"'arrow-left' is already listed as an alias of 'back'. The canonical 'back' is a semantic/intent name. All 5 libraries call the glyph 'arrow-left' or similar, but 'back' describes what the arrow means in a UI context. The alias covers developers who think in glyph terms. Good semantic choice."
ticket,1,verify,coupon,"'ticket' is already listed as an alias of 'coupon'. The canonical 'coupon' is a commerce-specific semantic name. Phosphor, Tabler, and Heroicons all call it 'ticket'. The glyph is a ticket — 'coupon' narrows the meaning. This is borderline but 'ticket' is already an alias so the mapping works."
square,1,verify,checkbox-empty,"'square' is already listed as an alias of 'checkbox-empty'. Lucide, Phosphor, and Tabler all call it 'square'. Material uses 'check_box_outline_blank'. The canonical 'checkbox-empty' is a functional name for form context. The alias covers developers who want a plain square shape."
